beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,0.836,0.836,0.701
0.048,0.592,0.592,0.496
0.062,0.465,0.465,0.393
0.077,0.371,0.371,0.309
0.091,0.325,0.324,0.272
0.106,0.279,0.279,0.233
0.120,0.243,0.243,0.202
0.135,0.224,0.224,0.187
0.149,0.204,0.205,0.170
0.164,0.191,0.191,0.156
0.178,0.180,0.180,0.148
0.193,0.175,0.175,0.143
0.207,0.166,0.166,0.135
0.222,0.157,0.156,0.127
0.236,0.151,0.147,0.117
0.251,0.153,0.147,0.117
0.265,0.149,0.139,0.108
0.280,0.157,0.146,0.115
0.294,0.158,0.137,0.106
0.309,0.164,0.133,0.101
0.323,0.177,0.136,0.102
0.338,0.195,0.133,0.099
0.352,0.225,0.141,0.102
0.367,0.271,0.145,0.101
0.381,0.313,0.151,0.104
0.396,0.380,0.162,0.110
0.410,0.476,0.168,0.108
0.425,0.581,0.180,0.111
0.439,0.732,0.204,0.113
0.454,0.906,0.224,0.110
0.468,1.089,0.257,0.114
0.483,1.286,0.291,0.118
0.497,1.482,0.318,0.114
0.512,1.725,0.334,0.107
0.526,1.907,0.372,0.118
0.541,2.092,0.371,0.137
0.555,2.339,0.368,0.139
0.570,2.641,0.372,0.160
0.584,2.857,0.372,0.183
0.599,3.095,0.390,0.245
