beta,MF_gamma,PL_gamma,PLWithLasso_gamma
0.033,1.006,1.006,0.869
0.048,0.684,0.684,0.588
0.062,0.545,0.545,0.471
0.077,0.442,0.442,0.382
0.091,0.367,0.366,0.315
0.106,0.328,0.328,0.282
0.120,0.287,0.286,0.244
0.135,0.260,0.260,0.222
0.149,0.243,0.242,0.206
0.164,0.217,0.217,0.182
0.178,0.202,0.202,0.169
0.193,0.198,0.197,0.164
0.207,0.185,0.184,0.153
0.222,0.181,0.180,0.149
0.236,0.172,0.170,0.140
0.251,0.167,0.164,0.134
0.265,0.167,0.162,0.130
0.280,0.167,0.158,0.126
0.294,0.168,0.156,0.125
0.309,0.173,0.153,0.121
0.323,0.187,0.155,0.121
0.338,0.202,0.153,0.118
0.352,0.230,0.158,0.118
0.367,0.278,0.165,0.120
0.381,0.322,0.169,0.121
0.396,0.412,0.184,0.127
0.410,0.520,0.204,0.134
0.425,0.635,0.228,0.141
0.439,0.798,0.258,0.146
0.454,0.927,0.280,0.144
0.468,1.100,0.313,0.146
0.483,1.249,0.346,0.142
0.497,1.443,0.399,0.151
0.512,1.635,0.425,0.147
0.526,1.824,0.426,0.146
0.541,2.044,0.436,0.149
0.555,2.234,0.441,0.172
0.570,2.519,0.435,0.196
0.584,2.822,0.428,0.219
0.599,3.091,0.410,0.252
